FC gene
-0.752667463746168 ABHD6
1.05532654782426 ABHD8
0.101610265636408 ABI1
0.538606990500006 ABI2
2.40594888168724 ABI3
0.38297266984645 ABITRAM
0.103905514887741 ABL1
-0.120249523117498 ABL2
0.935922677564917 ABLIM1
0.854936037922914 ABLIM2
3.93749085214671 ABLIM3
0.46682099844142 ABO
6.80033118578202 ABR
1.45390051737555 ABRACL
0.839172958976835 ABRAXAS1
0.854936037922914 ABRAXAS1P2
-0.192594465324577 ABRAXAS2
-0.426067086929126 ABT1
1.77950540616388 ABTB1
0.407402569465497 ABTB2
0.854936037922915 ABTB3
-0.284467975969541 ACAA1
1.24187854784018 ACAA2
-0.611860377576723 ACAA2P1
-0.789874897080245 ACACA
2.83543659012182 ACACB
0.720816197761569 ACAD10
1.50370746659806 ACAD11
0.240852627992693 ACAD8
-0.182665330094907 ACAD9
-0.106835035123572 ACADL
-0.470395590591087 ACADM
-0.260672543061643 ACADS
-0.566587951530625 ACADSB
0.265910410592521 ACADVL
-1.06861731371957 ACAN
-0.227156633952582 ACAP1
0.613525658880201 ACAP2
-0.278701234295106 ACAP3
-0.312694894786131 ACAT1
-0.823713580872878 ACAT2
-0.0788922941748334 ACBD3
0.18665155175193 ACBD4
0.0196602646879183 ACBD5
-0.15761276546855 ACBD6
1.18223082750803 ACBD7
0.481100201616936 ACCS
-1.06861731371957 ACCSLP1
0.119007574178459 ACD
1.64620269571172 ACE
2.79601442626775 ACE2
0.270553224895426 ACER2
0.374890796338089 ACER3
-1.37017734026674 ACHE
-0.0776615103637187 ACIN1
1.53529849988572 ACKR1
0.678022423603037 ACKR2
-1.06861731371957 ACKR3
0.854936037922915 ACKR4
-1.06861731371957 ACKR4P1
-0.50277502506117 ACLY
-1.06861731371957 ACMSD
-0.067445768976952 ACO1
-0.225891198173307 ACO2
-0.106835009449117 ACO2P1
-1.06861731371957 ACO2P2
4.20761474420151 ACOT11
-0.140586898479803 ACOT13
-0.106835317411385 ACOT2
-0.222996187000725 ACOT7
0.235735404794609 ACOT8
-0.185262341755946 ACOT9
0.0436094516214123 ACOX1
0.775351096002331 ACOX3
0.854936037922914 ACOXL
-0.0382349054542448 ACP1
0.51326170724082 ACP2
3.91993730167619 ACP3
1.40801401087097 ACP5
1.43052755445779 ACP6
0.135106927566659 ACRBP
-2.0783697401776 ACSBG1
2.09918805016532 ACSBG2
1.19825292545867 ACSF2
0.246193086009269 ACSF3
1.10840333248029 ACSL1
0.224510589232449 ACSL3
-0.523060010674291 ACSL4
0.995007382427989 ACSL5
0.392574288247736 ACSL6
1.86470441133885 ACSM1
4.20628643533539 ACSM2B
1.11981529231458 ACSM3
-1.06861731371957 ACSM5P1
-2.16006613545951 ACSS1
-0.335763955816346 ACSS2
-0.624832254647052 ACTA1
0.817888725682837 ACTA2
0.204875016149763 ACTB
-0.696420207598444 ACTBP11
0.854936037922914 ACTBP15
0.262061538998854 ACTBP8
-0.816738526356846 ACTC1
0.805602931455549 ACTG1
0.858649142544461 ACTG1P1
-1.06861731371957 ACTG1P10
-0.106835547590097 ACTG1P14
0.818443144829432 ACTG1P17
-3.05004850799672 ACTG1P2
0.466681596000843 ACTG1P20
1.76458119365343 ACTG1P21
-1.96884739224781 ACTG1P24
1.26653741241594 ACTG1P25
-0.972283790881472 ACTG1P3
0.854936037922915 ACTG2
1.81875868471203 ACTL10
-0.259362495135463 ACTL6A
-0.127455926569177 ACTL8
0.316779217081499 ACTMAP
0.148867322391249 ACTN1
0.106729885551947 ACTN2
0.807678039509628 ACTN3
0.73017008122592 ACTN4
0.397250135829564 ACTR10
-0.133242572453971 ACTR1A
0.580236910349963 ACTR1B
0.297933119839156 ACTR2
0.854936037922914 ACTR2P2
0.120054793929731 ACTR3
-0.830443163031829 ACTR3B
-0.0447871854546957 ACTR3C
-0.425312292005491 ACTR5
-0.725666888059323 ACTR6
-0.030508238729511 ACTR8
0.854936037922914 ACTRT3
1.16367756032916 ACVR1
0.678508365975686 ACVR1B
2.39974386668687 ACVR1C
1.37576481633183 ACVR2A
0.24434149732595 ACVR2B
1.59127103143678 ACVRL1
-0.492836806578327 ACY1
-0.38851463245969 ACYP1
0.352769625566288 ACYP2
-0.624502045617166 ADA
3.06310522948094 ADA2
0.854936037922914 ADAD2
-0.0462692860150384 ADAM10
0.23323051828723 ADAM11
-0.145400890832971 ADAM15
0.680440857123209 ADAM17
-0.128902786475684 ADAM18
1.56246352478652 ADAM19
4.80979832465212 ADAM1A
0.854936037922915 ADAM20
2.77245607535188 ADAM20P1
1.34867704660842 ADAM21
1.09004630144033 ADAM22
0.854936037922914 ADAM23
-1.06861731371957 ADAM28
2.11648646869457 ADAM32
-0.966688509953233 ADAM3A
-0.627699346601717 ADAM8
0.405670155241414 ADAM9
1.80498888300795 ADAMTS1
1.5326914312506 ADAMTS10
3.41598952749679 ADAMTS13
-0.274973670677104 ADAMTS14
1.16945361347486 ADAMTS17
-1.79619494135866 ADAMTS18
-0.679953140731145 ADAMTS20
-0.630331960929654 ADAMTS3
-0.753684717531971 ADAMTS4
-0.493000677415397 ADAMTS6
-0.062336649449854 ADAMTS7
1.71793140994887 ADAMTS7P3
0.854936037922915 ADAMTS7P4
1.76458119365343 ADAMTS7P5
0.995797809847459 ADAMTS9
0.854936037922915 ADAMTSL3
-0.68709156338947 ADAMTSL4
-0.22106363031821 ADAMTSL5
1.18408430251368 ADAP1
3.07871075922414 ADAP2
0.0875384074770773 ADAR
0.238510739082946 ADARB1
0.446278103660904 ADAT1
-0.693022700095608 ADAT2
-0.497228486701031 ADAT3
-0.451927213411249 ADCK1
1.04791732834052 ADCK2
0.615815570768632 ADCK5
2.95289400066259 ADCY1
1.44326139541717 ADCY10
3.07858734467994 ADCY10P1
0.854936037922914 ADCY2
-0.509168163615258 ADCY3
4.89935585034921 ADCY4
3.10474445504937 ADCY6
-0.368526986338374 ADCY7
0.833750396426518 ADCY9
3.35200879121669 ADCYAP1R1
-0.0292824177129453 ADD1
-1.32599062517125 ADD2
0.163658522119972 ADD3
2.33653394169079 ADGB
3.7856496740367 ADGRA2
1.07621721719804 ADGRA3
0.7648082873483 ADGRB1
